,Date,Pays,T_Cas,T_Décès,T_Guérisons,% Décès,% Guérison,% Malade,Cas/jrs,Décès/jrs,Guéris/jrs
0,2020-06-21,Chine,84556,4639,79534,5.49,94.06,0.45,1176,5,1122
1,2020-06-20,Chine,83380,4634,78412,5.56,94.04,0.4,55,0,14
2,2020-06-19,Chine,83325,4634,78398,5.56,94.09,0.35,0,0,0
3,2020-06-18,Chine,83325,4634,78398,5.56,94.09,0.35,32,0,4
4,2020-06-17,Chine,83293,4634,78394,5.56,94.12,0.32,28,0,15
5,2020-06-16,Chine,83265,4634,78379,5.57,94.13,0.3,44,0,2
6,2020-06-15,Chine,83221,4634,78377,5.57,94.18,0.25,40,0,7
7,2020-06-14,Chine,83181,4634,78370,5.57,94.22,0.21,49,0,1
8,2020-06-13,Chine,83132,4634,78369,5.57,94.27,0.16,57,0,2
9,2020-06-12,Chine,83075,4634,78367,5.58,94.33,0.09,11,0,3
10,2020-06-11,Chine,83064,4634,78364,5.58,94.34,0.08,7,0,4
11,2020-06-10,Chine,83057,4634,78360,5.58,94.34,0.08,11,0,4
12,2020-06-09,Chine,83046,4634,78356,5.58,94.35,0.07,3,0,6
13,2020-06-08,Chine,83043,4634,78350,5.58,94.35,0.07,3,0,10
14,2020-06-07,Chine,83040,4634,78340,5.58,94.34,0.08,4,0,9
15,2020-06-06,Chine,83036,4634,78331,5.58,94.33,0.09,6,0,1
16,2020-06-05,Chine,83030,4634,78330,5.58,94.34,0.08,3,0,2
17,2020-06-04,Chine,83027,4634,78328,5.58,94.34,0.08,5,0,8
18,2020-06-03,Chine,83022,4634,78320,5.58,94.34,0.08,1,0,3
19,2020-06-02,Chine,83023,4634,78317,5.58,94.33,0.09,1,0,1
20,2020-06-01,Chine,83022,4634,78316,5.58,94.33,0.09,5,0,9
21,2020-05-31,Chine,83017,4634,78307,5.58,94.33,0.09,16,0,2
22,2020-05-30,Chine,83001,4634,78305,5.58,94.34,0.07,2,0,3
23,2020-05-29,Chine,82999,4634,78302,5.58,94.34,0.08,4,0,11
24,2020-05-28,Chine,82995,4634,78291,5.58,94.33,0.08,0,0,3
25,2020-05-27,Chine,82995,4634,78288,5.58,94.33,0.09,2,0,8
26,2020-05-26,Chine,82993,4634,78280,5.58,94.32,0.1,1,0,3
27,2020-05-25,Chine,82992,4634,78277,5.58,94.32,0.1,7,0,9
28,2020-05-24,Chine,82985,4634,78268,5.58,94.32,0.1,11,0,7
29,2020-05-23,Chine,82974,4634,78261,5.58,94.32,0.1,3,0,3
30,2020-05-22,Chine,82971,4634,78258,5.59,94.32,0.1,8,0,17
31,2020-05-21,Chine,82963,4634,78241,5.59,94.31,0.11,0,0,0
32,2020-05-20,Chine,82963,4634,78241,5.59,94.31,0.11,0,0,0
33,2020-05-19,Chine,82963,4634,78241,5.59,94.31,0.11,0,0,0
34,2020-05-18,Chine,82963,4634,78241,5.59,94.31,0.11,9,0,3
35,2020-05-17,Chine,82954,4634,78238,5.59,94.31,0.1,7,0,11
36,2020-05-16,Chine,82947,4634,78227,5.59,94.31,0.1,6,1,8
37,2020-05-15,Chine,82941,4633,78219,5.59,94.31,0.11,8,0,10
38,2020-05-14,Chine,82933,4633,78209,5.59,94.3,0.11,4,0,14
39,2020-05-13,Chine,82929,4633,78195,5.59,94.29,0.12,3,0,6
40,2020-05-12,Chine,82926,4633,78189,5.59,94.29,0.13,7,0,18
41,2020-05-11,Chine,82919,4633,78171,5.59,94.27,0.14,1,0,27
42,2020-05-10,Chine,82918,4633,78144,5.59,94.24,0.17,17,0,24
43,2020-05-09,Chine,82901,4633,78120,5.59,94.23,0.18,14,0,127
44,2020-05-08,Chine,82887,4633,77993,5.59,94.1,0.31,1,0,0
45,2020-05-07,Chine,82886,4633,77993,5.59,94.1,0.31,1,0,36
46,2020-05-06,Chine,82885,4633,77957,5.59,94.05,0.36,2,0,46
47,2020-05-05,Chine,82883,4633,77911,5.59,94.0,0.41,2,0,58
48,2020-05-04,Chine,82881,4633,77853,5.59,93.93,0.48,1,0,87
49,2020-05-03,Chine,82880,4633,77766,5.59,93.83,0.58,5,0,81
50,2020-05-02,Chine,82875,4633,77685,5.59,93.74,0.67,0,0,6
51,2020-05-01,Chine,82875,4633,77679,5.59,93.73,0.68,1,0,37
52,2020-04-30,Chine,82874,4633,77642,5.59,93.69,0.72,12,0,32
53,2020-04-29,Chine,82862,4633,77610,5.59,93.66,0.75,4,0,32
54,2020-04-28,Chine,82858,4633,77578,5.59,93.63,0.78,22,0,23
55,2020-04-27,Chine,82836,4633,77555,5.59,93.62,0.78,6,0,81
56,2020-04-26,Chine,82830,4633,77474,5.59,93.53,0.87,3,1,80
57,2020-04-25,Chine,82827,4632,77394,5.59,93.44,0.97,8,0,37
58,2020-04-24,Chine,82819,4632,77357,5.59,93.4,1.0,15,0,100
