,Date,Pays,T_Cas,T_Décès,T_Guérisons,% Décès,% Guérison,% Malade,Cas/jrs,Décès/jrs,Guéris/jrs
0,2020-06-21,France,198278,29640,74372,14.95,37.51,47.54,284,7,60
1,2020-06-20,France,197994,29633,74312,14.97,37.53,47.5,641,16,195
2,2020-06-19,France,197353,29617,74117,15.01,37.56,47.44,811,14,230
3,2020-06-18,France,196542,29603,73887,15.06,37.59,47.34,467,28,220
4,2020-06-17,France,196075,29575,73667,15.08,37.57,47.35,458,28,332
5,2020-06-16,France,195617,29547,73335,15.1,37.49,47.41,646,111,291
6,2020-06-15,France,194971,29436,73044,15.1,37.46,47.44,152,29,185
7,2020-06-14,France,194819,29407,72859,15.09,37.4,47.51,407,9,51
8,2020-06-13,France,194412,29398,72808,15.12,37.45,47.43,526,24,236
9,2020-06-12,France,193886,29374,72572,15.15,37.43,47.42,726,28,423
10,2020-06-11,France,193160,29346,72149,15.19,37.35,47.46,619,61,317
11,2020-06-10,France,192541,29285,71832,15.21,37.31,47.48,545,23,326
12,2020-06-09,France,191996,29262,71506,15.24,37.24,47.52,403,53,444
13,2020-06-08,France,191593,29209,71062,15.25,37.09,47.66,211,54,220
14,2020-06-07,France,191382,29155,70842,15.23,37.02,47.75,343,13,36
15,2020-06-06,France,191039,29142,70806,15.25,37.06,47.68,579,31,302
16,2020-06-05,France,190460,29111,70504,15.28,37.02,47.7,611,46,528
17,2020-06-04,France,189849,29065,69976,15.31,36.86,47.83,767,44,521
18,2020-06-03,France,189082,29021,69455,15.35,36.73,47.92,442,81,643
19,2020-06-02,France,188640,28940,68812,15.34,36.48,48.18,-618,107,372
20,2020-06-01,France,189258,28833,68440,15.23,36.16,48.6,338,31,85
21,2020-05-31,France,188920,28802,68355,15.25,36.18,48.57,257,31,87
22,2020-05-30,France,188663,28771,68268,15.25,36.19,48.56,1828,49,465
23,2020-05-29,France,186835,28722,67803,15.37,36.29,48.34,597,61,612
24,2020-05-28,France,186238,28661,67191,15.39,36.08,48.53,3325,66,607
25,2020-05-27,France,182913,28595,66584,15.63,36.4,47.96,191,65,705
26,2020-05-26,France,182722,28530,65879,15.61,36.05,48.33,-220,73,680
27,2020-05-25,France,182942,28457,65199,15.56,35.64,48.81,358,90,582
28,2020-05-24,France,182584,28367,64617,15.54,35.39,49.07,115,35,70
29,2020-05-23,France,182469,28332,64547,15.53,35.37,49.1,250,43,338
30,2020-05-22,France,182219,28289,64209,15.52,35.24,49.24,393,74,351
31,2020-05-21,France,181826,28215,63858,15.52,35.12,49.36,251,83,504
32,2020-05-20,France,181575,28132,63354,15.49,34.89,49.62,766,110,791
33,2020-05-19,France,180809,28022,62563,15.5,34.6,49.9,882,-217,835
34,2020-05-18,France,179927,28239,61728,15.69,34.31,50.0,358,131,515
35,2020-05-17,France,179569,28108,61213,15.65,34.09,50.26,204,483,147
36,2020-05-16,France,179365,27625,61066,15.4,34.05,50.55,-141,96,618
37,2020-05-15,France,179506,27529,60448,15.34,33.67,50.99,636,104,843
38,2020-05-14,France,178870,27425,59605,15.33,33.32,51.34,810,351,932
39,2020-05-13,France,178060,27074,58673,15.2,32.95,51.84,-165,83,888
40,2020-05-12,France,178225,26991,57785,15.14,32.42,52.43,802,348,1061
41,2020-05-11,France,177423,26643,56724,15.02,31.97,53.01,453,263,507
42,2020-05-10,France,176970,26380,56217,14.91,31.77,53.33,312,70,179
43,2020-05-09,France,176658,26310,56038,14.89,31.72,53.39,579,80,256
44,2020-05-08,France,176079,26230,55782,14.9,31.68,53.42,1288,243,755
45,2020-05-07,France,174791,25987,55027,14.87,31.48,53.65,600,178,1055
46,2020-05-06,France,174191,25809,53972,14.82,30.98,54.2,3640,278,1236
47,2020-05-05,France,170551,25531,52736,14.97,30.92,54.11,1089,330,1365
48,2020-05-04,France,169462,25201,51371,14.87,30.31,54.81,769,306,587
49,2020-05-03,France,168693,24895,50784,14.76,30.1,55.14,297,135,222
50,2020-05-02,France,168396,24760,50562,14.7,30.03,55.27,1050,166,350
51,2020-05-01,France,167346,24594,50212,14.7,30.0,55.3,168,218,736
52,2020-04-30,France,167178,24376,49476,14.58,29.59,55.82,758,289,1248
53,2020-04-29,France,166420,24087,48228,14.59,29.21,56.2,509,427,1342
54,2020-04-28,France,165911,23660,46886,14.12,27.97,57.91,69,367,1373
55,2020-04-27,France,165842,23293,45513,14.15,27.65,58.2,3742,437,610
56,2020-04-26,France,162100,22856,44903,14.21,27.92,57.87,612,242,309
57,2020-04-25,France,161488,22614,44594,14.11,27.82,58.07,1660,369,1101
58,2020-04-24,France,159828,22245,43493,14.02,27.42,58.56,1645,389,1405
59,2020-04-23,France,158183,21856,42088,13.82,26.61,59.58,2310,516,1431
60,2020-04-22,France,155873,21340,40657,13.69,26.09,60.22,-2177,544,1476
61,2020-04-21,France,158050,20796,39181,13.16,24.79,62.05,2667,531,1772
62,2020-04-20,France,155383,20265,37409,13.05,24.09,62.86,2489,547,831
63,2020-04-19,France,152894,19718,36578,12.9,23.92,63.18,1101,395,595
64,2020-04-18,France,151793,19323,35983,13.06,24.32,62.62,3824,642,1563
65,2020-04-17,France,147969,18681,34420,12.62,23.26,64.11,1909,761,1608
66,2020-04-16,France,146060,17920,32812,12.28,22.48,65.24,12590,753,1857
67,2020-04-15,France,133470,17167,30955,12.86,23.19,63.95,3217,1438,2150
68,2020-04-14,France,130253,15729,28805,12.08,22.11,65.81,5955,762,1087
69,2020-04-13,France,124298,14967,27718,12.04,22.3,65.66,3665,574,532
70,2020-04-12,France,120633,14393,27186,11.93,22.54,65.53,452,561,795
71,2020-04-11,France,120181,13832,26391,11.51,21.96,66.53,4573,635,1459
72,2020-04-10,France,115608,13197,24932,11.42,21.57,67.02,6068,987,1726
73,2020-04-09,France,109540,12210,23206,11.15,21.18,67.67,6238,1341,1952
74,2020-04-08,France,103302,10869,21254,10.52,20.57,68.9,5798,541,1917
75,2020-04-07,France,97504,10328,19337,10.59,19.83,69.58,5864,1417,2087
76,2020-04-06,France,91640,8911,17250,9.72,18.82,71.45,4979,833,1067
77,2020-04-05,France,86661,8078,16183,9.32,18.67,72.0,2618,518,745
78,2020-04-04,France,84043,7560,15438,9.0,18.37,72.64,5697,1053,1430
79,2020-04-03,France,78346,6507,14008,8.31,17.88,73.81,6813,1120,1580
80,2020-04-02,France,71533,5387,12428,7.53,17.37,75.1,3609,1355,1494
81,2020-04-01,France,67924,4032,10934,5.94,16.1,77.97,15796,509,1490
82,2020-03-31,France,52128,3523,9444,6.76,18.12,75.12,7578,499,1517
83,2020-03-30,France,44550,3024,7927,6.79,17.79,75.42,4376,418,725
84,2020-03-29,France,40174,2606,7202,6.49,17.93,75.59,2599,292,1502
85,2020-03-28,France,37575,2314,5700,6.16,15.17,78.67,4611,319,0
86,2020-03-27,France,32964,1995,5700,6.05,17.29,76.66,3809,299,752
87,2020-03-26,France,29155,1696,4948,5.82,16.97,77.21,3922,365,1048
88,2020-03-25,France,25233,1331,3900,5.27,15.46,79.27,2929,231,619
89,2020-03-24,France,22304,1100,3281,4.93,14.71,80.36,2430,240,1081
90,2020-03-23,France,19874,860,2200,4.33,11.07,84.6,3856,186,0
91,2020-03-22,France,16018,674,2200,4.21,13.73,82.06,1717,112,2188
92,2020-03-21,France,14301,562,12,3.93,0.08,95.99,1676,112,0
93,2020-03-20,France,12625,450,12,3.56,0.1,96.34,1630,78,0
94,2020-03-19,France,10995,372,12,3.38,0.11,96.51,1861,108,0
95,2020-03-18,France,9134,264,12,2.89,0.13,96.98,1404,89,0
96,2020-03-17,France,7730,175,12,2.26,0.16,97.58,1085,27,0
97,2020-03-16,France,6645,148,12,2.23,0.18,97.59,1222,21,0
98,2020-03-15,France,5423,127,12,2.34,0.22,97.44,946,36,0
99,2020-03-14,France,4477,91,12,2.03,0.27,97.7,813,12,0
100,2020-03-13,France,3664,79,12,2.16,0.33,97.52,788,18,0
101,2020-03-12,France,2876,61,12,2.12,0.42,97.46,595,13,0
102,2020-03-11,France,2281,48,12,2.1,0.53,97.37,497,15,0
103,2020-03-10,France,1784,33,12,1.85,0.67,97.48,372,8,0
104,2020-03-09,France,1412,25,12,1.77,0.85,97.38,286,6,0
105,2020-03-08,France,1126,19,12,1.69,1.07,97.25,177,8,0
106,2020-03-07,France,949,11,12,1.16,1.26,97.58,296,2,0
107,2020-03-06,France,653,9,12,1.38,1.84,96.78,276,3,0
108,2020-03-05,France,377,6,12,1.59,3.18,95.23,92,2,0
109,2020-03-04,France,285,4,12,1.4,4.21,94.39,81,0,0
110,2020-03-03,France,204,4,12,1.96,5.88,92.16,13,1,0
111,2020-03-02,France,191,3,12,1.57,6.28,92.15,61,1,0
112,2020-03-01,France,130,2,12,1.54,9.23,89.23,30,0,0
113,2020-02-29,France,100,2,12,2.0,12.0,86.0,43,0,1
114,2020-02-28,France,57,2,11,3.51,19.3,77.19,19,0,0
115,2020-02-27,France,38,2,11,5.26,28.95,65.79,20,0,0
116,2020-02-26,France,18,2,11,11.11,61.11,27.78,4,1,0
117,2020-02-25,France,14,1,11,7.14,78.57,14.29,2,0,7
118,2020-02-24,France,12,1,4,8.33,33.33,58.33,0,0,0
119,2020-02-23,France,12,1,4,8.33,33.33,58.33,0,0,0
120,2020-02-22,France,12,1,4,8.33,33.33,58.33,0,0,0
121,2020-02-21,France,12,1,4,8.33,33.33,58.33,0,0,0
122,2020-02-20,France,12,1,4,8.33,33.33,58.33,0,0,0
123,2020-02-19,France,12,1,4,8.33,33.33,58.33,0,0,0
124,2020-02-18,France,12,1,4,8.33,33.33,58.33,0,0,0
125,2020-02-17,France,12,1,4,8.33,33.33,58.33,0,0,0
126,2020-02-16,France,12,1,4,8.33,33.33,58.33,0,0,0
127,2020-02-15,France,12,1,4,8.33,33.33,58.33,1,1,2
128,2020-02-14,France,11,0,2,0.0,18.18,81.82,0,0,0
129,2020-02-13,France,11,0,2,0.0,18.18,81.82,0,0,0
130,2020-02-12,France,11,0,2,0.0,18.18,81.82,0,0,2
131,2020-02-11,France,11,0,0,0.0,0.0,100.0,0,0,0
132,2020-02-10,France,11,0,0,0.0,0.0,100.0,0,0,0
133,2020-02-09,France,11,0,0,0.0,0.0,100.0,0,0,0
134,2020-02-08,France,11,0,0,0.0,0.0,100.0,5,0,0
135,2020-02-07,France,6,0,0,0.0,0.0,100.0,0,0,0
136,2020-02-06,France,6,0,0,0.0,0.0,100.0,0,0,0
137,2020-02-05,France,6,0,0,0.0,0.0,100.0,0,0,0
138,2020-02-04,France,6,0,0,0.0,0.0,100.0,0,0,0
