,Date,Pays,T_Cas,T_Décès,T_Guérisons,% Décès,% Guérison,% Malade,Cas/jrs,Décès/jrs,Guéris/jrs
0,2020-06-21,Italie,238499,34634,182893,14.52,76.69,8.79,224,24,440
1,2020-06-20,Italie,238275,34610,182453,14.53,76.57,8.9,264,49,546
2,2020-06-19,Italie,238011,34561,181907,14.52,76.43,9.05,148,47,1363
3,2020-06-18,Italie,238159,34514,180544,14.49,75.81,9.7,331,66,1089
4,2020-06-17,Italie,237828,34448,179455,14.48,75.46,10.06,328,43,929
5,2020-06-16,Italie,237500,34405,178526,14.49,75.17,10.34,210,34,1516
6,2020-06-15,Italie,237290,34371,177010,14.48,74.6,10.92,301,26,640
7,2020-06-14,Italie,236989,34345,176370,14.49,74.42,11.09,338,44,1505
8,2020-06-13,Italie,236651,34301,174865,14.49,73.89,11.61,346,78,1780
9,2020-06-12,Italie,236305,34223,173085,14.48,73.25,12.27,163,56,1747
10,2020-06-11,Italie,236142,34167,171338,14.47,72.56,12.97,379,53,1399
11,2020-06-10,Italie,235763,34114,169939,14.47,72.08,13.45,202,71,1293
12,2020-06-09,Italie,235561,34043,168646,14.45,71.59,13.95,283,79,2062
13,2020-06-08,Italie,235278,33964,166584,14.44,70.8,14.76,280,65,747
14,2020-06-07,Italie,234998,33899,165837,14.43,70.57,15.01,197,53,759
15,2020-06-06,Italie,234801,33846,165078,14.41,70.31,15.28,270,72,1297
16,2020-06-05,Italie,234531,33774,163781,14.4,69.83,15.77,518,85,1886
17,2020-06-04,Italie,234013,33689,161895,14.4,69.18,16.42,177,88,957
18,2020-06-03,Italie,233836,33601,160938,14.37,68.83,16.81,321,71,846
19,2020-06-02,Italie,233515,33530,160092,14.36,68.56,17.08,318,55,1737
20,2020-06-01,Italie,233197,33475,158355,14.35,67.91,17.74,200,60,848
21,2020-05-31,Italie,232997,33415,157507,14.34,67.6,18.06,333,75,1874
22,2020-05-30,Italie,232664,33340,155633,14.33,66.89,18.78,416,111,2789
23,2020-05-29,Italie,232248,33229,152844,14.31,65.81,19.88,516,87,2240
